epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,191.923,0.03047,7.70902,4.18593,0.00471,0.09174,0.00296,0.00076,0.02929,6.14481,4.03627,0.00332955,0.00332955,0.00332955
2,378.888,0.0285,6.65503,3.53008,0.68384,0.08202,0.04007,0.01202,0.02498,5.52385,3.26491,0.0065656,0.0065656,0.0065656
3,565.889,0.02208,5.61551,2.86632,0.31647,0.14049,0.09117,0.03909,0.02026,4.85522,2.71479,0.00970432,0.00970432,0.00970432
4,754.441,0.01942,5.02502,2.55476,0.26388,0.08635,0.06644,0.02573,0.0194,4.78953,2.55703,0.009562,0.009562,0.009562
5,944.12,0.01811,4.6695,2.38677,0.31276,0.21259,0.14937,0.07317,0.01745,4.23292,2.34992,0.009416,0.009416,0.009416
6,1134.93,0.01733,4.44785,2.2858,0.38964,0.25904,0.18199,0.09781,0.01702,4.03104,2.2564,0.00927,0.00927,0.00927
7,1323.78,0.01671,4.26598,2.20962,0.29528,0.28493,0.1932,0.10236,0.01655,3.84583,2.20243,0.009124,0.009124,0.009124
8,1513.9,0.01636,4.11583,2.1692,0.34591,0.31547,0.24661,0.13557,0.01592,3.63818,2.11308,0.008978,0.008978,0.008978
9,1708.14,0.01598,3.98409,2.11491,0.30657,0.32598,0.25354,0.14061,0.01561,3.54959,2.08357,0.008832,0.008832,0.008832
10,1899.61,0.01568,3.89124,2.08149,0.34763,0.3321,0.26909,0.15297,0.01537,3.49224,2.06011,0.008686,0.008686,0.008686
11,2092.35,0.01544,3.79381,2.05182,0.36398,0.3646,0.31734,0.18821,0.01504,3.32737,2.00492,0.00854,0.00854,0.00854
12,2293.36,0.01515,3.70843,2.02031,0.38697,0.36694,0.33115,0.19494,0.01463,3.25888,1.95414,0.008394,0.008394,0.008394
13,2488.83,0.01508,3.64578,2.00573,0.46607,0.38859,0.35889,0.21397,0.01446,3.18759,1.9378,0.008248,0.008248,0.008248
14,2676.38,0.0149,3.5826,1.99258,0.44626,0.38549,0.3637,0.21329,0.01459,3.13339,1.94485,0.008102,0.008102,0.008102
15,2861.18,0.01468,3.5189,1.97497,0.46672,0.40001,0.38107,0.23016,0.01423,3.06288,1.90035,0.007956,0.007956,0.007956
16,3052.3,0.0146,3.47629,1.95775,0.44433,0.40717,0.37244,0.22468,0.01416,3.08504,1.9087,0.00781,0.00781,0.00781
17,3240.18,0.01446,3.40776,1.93869,0.45355,0.41458,0.38948,0.24241,0.01389,2.99228,1.87604,0.007664,0.007664,0.007664
18,3426.82,0.01427,3.34832,1.92387,0.52343,0.41317,0.40993,0.25583,0.01379,2.90236,1.856,0.007518,0.007518,0.007518
19,3615.71,0.01419,3.31364,1.91846,0.46652,0.44357,0.41292,0.25859,0.01372,2.87809,1.85066,0.007372,0.007372,0.007372
20,3812,0.01418,3.27908,1.9107,0.48345,0.45162,0.43146,0.27029,0.01362,2.82828,1.82877,0.007226,0.007226,0.007226
21,4001.94,0.01395,3.22511,1.88695,0.53171,0.44654,0.43615,0.27419,0.01339,2.77688,1.81182,0.00708,0.00708,0.00708
