epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.95217,0.01837,7.65485,4.20196,0.00194,0.08167,0.00108,0.00022,0.01853,7.09075,4.15524,0.00040008,0.00040008,0.00040008
2,10.822,0.01803,6.94459,3.79125,0.00057,0.01521,0.00029,5e-05,0.01813,7.02409,4.12028,0.000801514,0.000801514,0.000801514
3,15.7569,0.01689,5.70456,3.18361,0.01668,0.62271,0.03478,0.01072,0.01553,6.3439,3.02788,0.00118732,0.00118732,0.00118732
4,20.6354,0.01573,5.05915,2.91037,0.01511,0.65375,0.24567,0.08604,0.01468,6.40045,2.69895,0.0015575,0.0015575,0.0015575
5,25.3874,0.01539,4.34168,2.7857,0.23701,0.2792,0.1477,0.05019,0.01443,5.73883,2.92371,0.00154198,0.00154198,0.00154198
6,30.0901,0.0143,4.12232,2.68592,0.04129,0.89271,0.40191,0.12755,0.01231,4.97164,2.44849,0.00151072,0.00151072,0.00151072
7,35.2732,0.01382,3.65567,2.62498,0.83213,0.70355,0.7572,0.39675,0.0101,3.76295,2.12608,0.00147946,0.00147946,0.00147946
8,40.1509,0.01384,3.45411,2.6094,0.97044,0.87463,0.93734,0.53628,0.00916,2.8298,2.00106,0.00144821,0.00144821,0.00144821
9,45.1188,0.01267,3.03611,2.46049,0.97872,0.93891,0.94819,0.60408,0.00833,2.42893,1.8045,0.00141695,0.00141695,0.00141695
10,49.9968,0.01231,2.86422,2.38933,0.8687,0.80765,0.94833,0.48291,0.00974,3.22545,2.01268,0.00138569,0.00138569,0.00138569
11,54.858,0.01162,2.63383,2.29219,0.92935,0.93086,0.94794,0.6159,0.00839,2.54829,1.87826,0.00135444,0.00135444,0.00135444
12,59.6683,0.01133,2.48779,2.23628,0.7259,0.84479,0.89467,0.63135,0.00726,3.05411,1.63338,0.00132318,0.00132318,0.00132318
13,64.4263,0.01045,2.35723,2.13101,0.91323,0.87743,0.9557,0.5764,0.00907,2.6454,1.88112,0.00129192,0.00129192,0.00129192
14,69.2946,0.00999,2.18313,2.06998,0.94524,0.8753,0.94639,0.68069,0.00735,1.93834,1.61338,0.00126067,0.00126067,0.00126067
15,74.1519,0.00922,2.03812,1.95268,0.89725,0.92158,0.93848,0.68118,0.00687,1.84424,1.59822,0.00122941,0.00122941,0.00122941
16,79.0282,0.00841,1.82916,1.8346,0.98003,0.94725,0.96294,0.70113,0.00672,1.91098,1.57024,0.00119816,0.00119816,0.00119816
17,83.8057,0.00792,1.72986,1.78044,0.97214,0.95437,0.95472,0.75435,0.00577,1.93972,1.44054,0.0011669,0.0011669,0.0011669
18,88.7944,0.00777,1.70839,1.7229,0.98406,0.94137,0.95174,0.73756,0.0059,2.03393,1.51915,0.00113564,0.00113564,0.00113564
19,94.0097,0.00787,1.61303,1.7221,0.71737,0.89021,0.87219,0.61777,0.00697,1.98655,1.57182,0.00110439,0.00110439,0.00110439
20,98.9257,0.00736,1.58389,1.68228,0.98038,0.94817,0.95731,0.76377,0.00525,1.7013,1.33332,0.00107313,0.00107313,0.00107313
21,103.844,0.00723,1.5082,1.63258,0.98301,0.95437,0.96028,0.74986,0.00533,1.72865,1.33703,0.00104188,0.00104188,0.00104188
22,108.724,0.0068,1.48756,1.58595,0.72813,0.69424,0.79495,0.60822,0.00565,3.77572,1.36093,0.00101062,0.00101062,0.00101062
23,113.701,0.00668,1.39664,1.57881,0.97998,0.95769,0.96673,0.76904,0.0052,1.66651,1.30669,0.000979362,0.000979362,0.000979362
24,118.909,0.00661,1.34876,1.54823,0.93201,0.93538,0.94624,0.75432,0.0053,1.58574,1.30011,0.000948106,0.000948106,0.000948106
25,124.184,0.00615,1.30547,1.47833,0.98173,0.95384,0.96148,0.79289,0.00479,1.7358,1.24145,0.00091685,0.00091685,0.00091685
26,129.425,0.00622,1.26606,1.49351,0.94536,0.91927,0.95743,0.79271,0.00483,1.87629,1.26501,0.000885594,0.000885594,0.000885594
27,134.574,0.00613,1.2641,1.48068,0.8824,0.93322,0.96057,0.78455,0.00486,2.05393,1.2449,0.000854337,0.000854337,0.000854337
28,139.747,0.00575,1.1881,1.42455,0.98361,0.94884,0.96896,0.81151,0.00432,1.66226,1.16076,0.000823081,0.000823081,0.000823081
29,144.984,0.00616,1.20704,1.48977,0.98203,0.95437,0.96003,0.80927,0.00445,1.60086,1.1952,0.000791825,0.000791825,0.000791825
30,150.317,0.00581,1.16536,1.42186,0.98289,0.95437,0.95939,0.80786,0.00443,1.59428,1.18846,0.000760569,0.000760569,0.000760569
31,156.726,0.00504,1.01655,1.32226,0.97219,0.95937,0.96548,0.81689,0.00437,1.74533,1.16148,0.000729313,0.000729313,0.000729313
32,162.105,0.00483,0.9727,1.30534,0.97521,0.94561,0.94903,0.79468,0.0043,1.52792,1.14693,0.000698056,0.000698056,0.000698056
33,167.527,0.00484,0.94401,1.31493,0.98192,0.95881,0.9661,0.82096,0.00455,1.63951,1.16977,0.0006668,0.0006668,0.0006668
34,172.557,0.00491,0.93548,1.31485,0.98283,0.95412,0.97022,0.84684,0.00382,1.55367,1.10109,0.000635544,0.000635544,0.000635544
35,177.606,0.0047,0.9184,1.29008,0.98288,0.95333,0.9676,0.8276,0.00413,1.51916,1.16192,0.000604288,0.000604288,0.000604288
36,182.63,0.00468,0.89068,1.26529,0.96626,0.96437,0.97659,0.84788,0.00375,1.4603,1.09909,0.000573031,0.000573031,0.000573031
37,187.769,0.00459,0.88279,1.27238,0.98078,0.96363,0.96378,0.82812,0.00435,1.55897,1.1595,0.000541775,0.000541775,0.000541775
38,192.855,0.00452,0.87685,1.25206,0.9737,0.93821,0.96853,0.8379,0.00407,1.80111,1.14723,0.000510519,0.000510519,0.000510519
39,198.047,0.00459,0.88077,1.26164,0.98119,0.96437,0.96488,0.81606,0.00393,1.46496,1.10517,0.000479263,0.000479263,0.000479263
40,203.417,0.00437,0.8469,1.22823,0.97694,0.95937,0.96532,0.83773,0.00387,1.54497,1.10797,0.000448006,0.000448006,0.000448006
