epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.7344,0.0177,6.59025,3.61197,0,0,0,0,0.01564,7.00269,2.8209,0.09408,0.00288,0.00288
2,10.5003,0.01653,4.23269,2.97063,0,0,0,0,0.01602,7.91172,6.52481,0.0669697,0.00576975,0.00576975
3,15.2775,0.01546,3.64331,2.86628,0.11648,0.28021,0.08824,0.02225,0.01773,9.74496,4.03505,0.039747,0.008547,0.008547
4,20.0203,0.01479,3.14189,2.75763,0.19051,0.37086,0.25946,0.07146,0.01684,58.5198,4.19224,0.0124117,0.0112118,0.0112118
5,24.5599,0.01419,2.90368,2.65402,0.0625,0.005,0.03161,0.00948,0.02452,10.9497,6.15669,0.0111,0.0111,0.0111
6,29.3423,0.01337,2.76079,2.62373,0.66429,0.115,0.07299,0.01421,0.01732,37.7857,5.08346,0.010875,0.010875,0.010875
7,34.0185,0.01297,2.52651,2.47101,0.52831,0.015,0.00107,0.00011,0.02335,11.0314,5.83527,0.01065,0.01065,0.01065
8,38.6927,0.01313,2.53576,2.5091,0.09811,0.72521,0.17642,0.04192,0.01809,4.78991,3.06406,0.010425,0.010425,0.010425
9,43.4055,0.01185,2.42665,2.34192,0.50822,0.82763,0.58,0.21447,0.01306,3.34275,2.32354,0.0102,0.0102,0.0102
10,48.1742,0.01172,2.28467,2.29176,0.81006,0.6888,0.82328,0.37211,0.01179,4.25503,2.30326,0.009975,0.009975,0.009975
11,52.9073,0.01118,2.3347,2.24464,0.00029,0.005,0.00015,4e-05,0.03145,9.66576,7.00673,0.00975,0.00975,0.00975
12,57.7571,0.01138,2.31032,2.224,0.93292,0.67005,0.822,0.49281,0.01039,2.45201,1.94683,0.009525,0.009525,0.009525
13,62.56,0.01059,2.16748,2.10654,0.9198,0.85304,0.94004,0.59674,0.00838,2.02273,1.84885,0.0093,0.0093,0.0093
14,67.3694,0.00993,1.95064,2.03314,0.89743,0.92197,0.93914,0.60239,0.00914,2.05189,1.80715,0.009075,0.009075,0.009075
15,72.153,0.00931,1.84817,1.95544,0.97373,0.93938,0.94483,0.65106,0.00752,2.15978,1.61463,0.00885,0.00885,0.00885
16,76.998,0.00881,1.75679,1.86117,0.68218,0.71845,0.88668,0.59894,0.00703,2.42034,1.53911,0.008625,0.008625,0.008625
17,82.1447,0.0084,1.58944,1.79158,0.0043,0.08,0.00253,0.001,0.01685,8.98267,3.05365,0.0084,0.0084,0.0084
18,87.1182,0.00821,1.63224,1.74083,0.67301,0.76458,0.81061,0.47984,0.00769,2.29702,1.59946,0.008175,0.008175,0.008175
19,92.0713,0.00829,1.6392,1.73763,0.34146,0.49479,0.33455,0.18715,0.00857,2.99989,1.7701,0.00795,0.00795,0.00795
20,97.0283,0.00821,1.6286,1.75352,0.84921,0.77586,0.8987,0.5165,0.00858,2.26768,1.76845,0.007725,0.007725,0.007725
21,102.005,0.00776,1.57617,1.65548,0.94347,0.94709,0.95105,0.702,0.00598,2.24761,1.38882,0.0075,0.0075,0.0075
22,107.012,0.00749,1.49313,1.62497,0.24478,0.96979,0.61636,0.46658,0.00576,2.7759,1.35591,0.007275,0.007275,0.007275
23,112.099,0.0074,1.48668,1.62307,0.87173,0.86545,0.94884,0.72934,0.00504,1.5256,1.28147,0.00705,0.00705,0.00705
24,117.404,0.00723,1.44631,1.57832,0.8344,0.91563,0.93979,0.70443,0.00686,2.68418,1.51907,0.006825,0.006825,0.006825
25,122.593,0.00731,1.43383,1.58863,0.88969,0.92895,0.92852,0.67248,0.00621,1.42103,1.38528,0.0066,0.0066,0.0066
26,127.733,0.00859,1.59153,1.74799,0.90885,0.84229,0.91052,0.48878,0.00971,1.86736,1.84355,0.006375,0.006375,0.006375
27,133.043,0.008,1.58368,1.65621,0.9544,0.95191,0.94603,0.74429,0.00543,2.18851,1.25717,0.00615,0.00615,0.00615
28,138.413,0.00724,1.45802,1.54589,0.95881,0.93081,0.94285,0.70119,0.00623,1.91167,1.35113,0.005925,0.005925,0.005925
29,143.646,0.00714,1.42046,1.53553,0.97736,0.95775,0.95161,0.72199,0.00624,2.46019,1.34884,0.0057,0.0057,0.0057
30,148.887,0.00684,1.3593,1.49263,0.95485,0.93659,0.94586,0.77345,0.00505,1.61488,1.23303,0.005475,0.005475,0.005475
31,155.571,0.00571,1.05848,1.3481,0.98078,0.94418,0.95347,0.77491,0.00579,2.07345,1.29413,0.00525,0.00525,0.00525
32,161.091,0.00561,1.0272,1.32649,0.97168,0.94812,0.95915,0.78824,0.0055,1.62707,1.25266,0.005025,0.005025,0.005025
33,166.377,0.0059,1.07605,1.38114,0.95943,0.94304,0.94863,0.7548,0.00566,1.94444,1.29179,0.0048,0.0048,0.0048
34,171.575,0.00575,1.10851,1.35804,0.80009,0.85852,0.92425,0.74251,0.00545,1.41934,1.28017,0.004575,0.004575,0.004575
35,176.886,0.00565,1.09758,1.36306,0.97478,0.94216,0.95199,0.76471,0.00464,1.83451,1.19562,0.00435,0.00435,0.00435
36,182.587,0.00534,0.95523,1.27277,0.73556,0.92025,0.93688,0.79072,0.00445,1.54497,1.13714,0.004125,0.004125,0.004125
37,187.956,0.00532,0.96807,1.26193,0.98107,0.94752,0.96012,0.77609,0.00465,1.5431,1.15844,0.0039,0.0039,0.0039
38,193.204,0.0054,0.98117,1.28777,0.97911,0.95099,0.95583,0.77021,0.00507,1.69227,1.18732,0.003675,0.003675,0.003675
39,198.631,0.00514,0.95154,1.23819,0.74824,0.94887,0.92774,0.75017,0.00444,1.29213,1.13413,0.00345,0.00345,0.00345
40,203.996,0.00503,0.95763,1.24963,0.98158,0.94437,0.95326,0.79701,0.00476,1.63996,1.18397,0.003225,0.003225,0.003225
